DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber
10-Apr-20,3,10,17,33,39,1,4,MNMT25192,1310
7-Apr-20,4,5,14,33,48,7,12,MMMN63176,1309
3-Apr-20,16,19,34,46,50,2,6,XLMC75563,1308
31-Mar-20,12,17,24,30,36,1,9,HKLW82804,1307
27-Mar-20,11,14,27,41,46,2,3,MCJW61156,1306
24-Mar-20,7,12,26,30,33,10,11,MHLK81873,1305
20-Mar-20,3,9,20,34,40,6,12,MGKX92653,1304
17-Mar-20,5,7,8,16,20,2,12,TFKR93938,1303
13-Mar-20,3,11,21,27,36,9,10,TDKH10025,1302
10-Mar-20,11,23,30,37,43,5,12,ZCJX91208,1301
6-Mar-20,15,38,43,45,46,1,11,VZJD63383,1300
3-Mar-20,4,14,27,44,45,1,10,JTGW58965,1299
28-Feb-20,8,11,20,22,23,3,4,MWHL03355,1298
25-Feb-20,1,4,18,27,42,4,6,JWHL46784,1297
21-Feb-20,7,23,30,32,45,5,9,ZVGX91610,1296
18-Feb-20,11,32,34,38,47,2,10,HTGW29689,1295
14-Feb-20,5,20,35,41,49,6,10,XRFZ87810,1294
11-Feb-20,24,26,32,43,46,6,10,XRGG09511,1293
7-Feb-20,9,15,17,25,40,3,9,VPDP74836,1292
4-Feb-20,21,23,33,35,47,6,7,"JPFD32045,MPDR43197,MPDT37387,MPDT85862,MPFC63496,MPFC80908,MPFC88452,TPDT30118,TPDT54602,TPDT73586,TPDV90511,TPDX71964,VPDR76493,VPFB90952,VPFD28571,XPDR64156,XPDW57558,XPDX02384,ZPDW33782,ZPDX85630",1291
31-Jan-20,13,18,20,23,30,2,4,HMCZ98135,1290
28-Jan-20,1,19,27,31,38,4,5,MLCQ54190,1289
24-Jan-20,3,4,6,9,24,5,8,MLCT62314,1288
21-Jan-20,10,11,24,36,46,3,5,HKCL40803,1287
17-Jan-20,8,19,20,29,44,3,8,HJBZ65365,1286
14-Jan-20,21,25,29,39,44,8,9,THBP08284,1285
10-Jan-20,6,17,32,44,46,2,6,HFZQ09448,1284
7-Jan-20,5,8,12,37,43,6,11,VFZT54845,1283
3-Jan-20,5,15,20,36,47,8,12,HDZH28977,1282
31-Dec-19,26,31,33,41,48,2,4,"MCXP69231,TBXC61919,TCXK37993,TCXZ18363,VCXK54965,VCXL09381,XCXG58817,XCXL23433,XCXQ72051,XCXZ65814",1281
27-Dec-19,1,7,22,26,35,5,10,XRTN54632,1280
24-Dec-19,3,11,13,14,47,3,6,HZWT01008,1279
20-Dec-19,8,24,30,32,34,3,4,HXWG12515,1278
17-Dec-19,1,7,12,25,49,6,9,ZWWB08649,1277
13-Dec-19,9,16,18,23,32,2,10,XVVQ45124,1276
10-Dec-19,2,10,19,21,47,2,8,VTVF21644,1275
6-Dec-19,1,3,27,39,46,1,10,XSTZ11604,1274
3-Dec-19,18,31,32,38,48,4,12,VRTL46314,1273
29-Nov-19,3,7,12,42,50,6,8,XPST12663,1272
26-Nov-19,2,3,15,19,34,5,8,XPSS54050,1271
22-Nov-19,3,21,32,34,48,3,11,JNSH78190,1270
19-Nov-19,8,10,15,30,42,4,6,ZMSF62402,1269
15-Nov-19,3,13,20,32,34,4,11,MLRP72207,1268
12-Nov-19,1,21,23,25,39,2,4,MKQX55840,1267
8-Nov-19,8,17,20,23,45,2,8,"HHPN22841,HHPQ65034,HHPV04660,HJQB67991,HJQH19491,JHPP37268,JJQC53109,JJQF19656,MJPW26402,MJQM49769,TJQB33605,VJPZ21444,VJQD70994,VJQJ46472,XHPL35338,XHPM30764,XJQJ77324,XJQN71063,ZHPN60935,ZJPW69368,ZJPW90653,ZJQC10497,ZJQM15803,ZJQM63533,ZJQN13737",1266
5-Nov-19,9,14,25,33,48,2,12,HHPR17921,1265
1-Nov-19,2,20,39,44,48,5,7,MGPD42139,1264
29-Oct-19,16,18,28,42,49,5,10,ZFNQ36587,1263
25-Oct-19,34,37,39,40,50,4,10,ZCNB02779,1262
22-Oct-19,2,5,32,33,47,7,8,JCMW80387,1261
18-Oct-19,8,18,22,41,42,11,12,HBMS19261,1260
