中文片名,英文片名,期待度,海報圖片,上映日
妒火的詛咒─娜迦,Nakee 2,67%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/fJqB892V851kwDjnyIKX-506x720.jpg,2019-09-20
唐頓莊園,Downton Abbey,73%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/September2019/goAaAngwOX2Mn7SL0qi2-1012x1500.jpg,2019-09-20
返校,Detention,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/WpmLtFlaAGZxvWEWTd1t-497x720.jpg,2019-09-20
殺手餐廳,Diner,73%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/June2019/R2wrgz8Tn9Pr7XkU43Vj-504x720.jpg,2019-09-20
我變笨了，請多多指教。,"I GO GAGA, MY DEAR",90%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/xhTPFMR5MpSmzDfHFRfy-500x714.jpg,2019-09-20
窗中的女巫,The Witch in the Window,89%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/SN79iyJL2GV8an7Wwa01-504x720.jpg,2019-09-20
星際救援,Ad Astra,93%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/ERVdGazV3OOWCFTLqrYW-800x1142.jpg,2019-09-20
忘了浪漫，記得你,Romang,87%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/NeRiwFKX6vyk5EiZyyqm-504x720.jpg,2019-09-20
我親愛的父親,My Dear Father,92%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/ljEb5r3j9Mams2V0oThf-511x720.jpg,2019-09-20
淺草的幸福吐司,Pelican：74 Years of Japanese Tradition,43%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/iUM8q1sbbVEiT18wN7hW-504x720.jpg,2019-09-20
魔力抓狂夜,Magical Nights,69%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/qrdQK5BFDXj9DRB0spte-709x1010.jpg,2019-09-20
與失智共舞,Dancing with Dementia,95%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/August2019/iid8GqZAoiC8ldJDgsAu-511x720.jpg,2019-09-20
