No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College,PTS/G,AST,TRB,3P
81,Jose Calderon,PG,6-3,200,"September 28, 1981",es,12,,4.5,2.1,1.5,0.8
8,Jordan Clarkson,SG,6-5,194,"June 7, 1992",us,3,"University of Tulsa, University of Missouri",12.6,1.7,2.1,1.6
99,Jae Crowder,SF,6-6,235,"July 6, 1990",us,5,Marquette University,8.6,1.1,3.3,1.2
8,Channing Frye,C,6-11,255,"May 17, 1983",us,11,University of Arizona,4.8,0.6,2.5,0.7
32,Jeff Green,PF,6-9,235,"August 28, 1986",us,9,Georgetown University,10.8,1.3,3.2,0.7
3,George Hill,PG,6-3,188,"May 4, 1986",us,9,Indiana University-Purdue University Indianapolis,9.4,2.8,2.7,1.1
10,John Holland,SF,6-5,205,"November 6, 1988",us,R,Boston University,2.3,0.2,1.0,0.5
1,Rodney Hood,SG,6-8,206,"October 20, 1992",us,3,"Mississippi State University, Duke University",10.8,1.4,2.6,1.2
23,LeBron James,PF,6-8,250,"December 30, 1984",us,14,,27.5,9.1,8.6,1.8
26,Kyle Korver,SG,6-7,212,"March 17, 1981",us,14,Creighton University,9.2,1.2,2.3,2.2
0,Kevin Love,C,6-10,251,"September 7, 1988",us,9,"University of California, Los Angeles",17.6,1.7,9.3,2.3
22,Larry Nance,C,6-9,230,"January 1, 1993",us,2,University of Wyoming,8.9,1.0,7.0,0.0
16,Cedi Osman,SF,6-8,210,"April 8, 1995",mk,R,,3.9,0.7,2.0,0.5
21,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,13,,3.0,2.0,1.0,0.0
15,London Perrantes,PG,6-2,200,"October 3, 1994",us,R,University of Virginia,0.5,0.4,0.3,0.0
1,Derrick Rose,PG,6-3,190,"October 4, 1988",us,8,University of Memphis,9.8,1.6,1.8,0.4
4,Iman Shumpert,SG,6-5,220,"June 26, 1990",us,6,Georgia Institute of Technology,4.4,1.2,2.9,0.5
5,J.R. Smith,SG,6-6,225,"September 9, 1985",us,13,,8.3,1.8,2.9,1.8
3,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us,6,University of Washington,14.7,4.5,2.1,1.5
13,Tristan Thompson,C,6-9,238,"March 13, 1991",ca,6,University of Texas at Austin,5.8,0.6,6.6,0.0
9,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,14,Marquette University,11.2,3.5,3.9,0.5
41,Ante Zizic,C,6-11,250,"January 4, 1997",hr,R,,3.7,0.2,1.9,0.0
